ADANIENT	ADANI ENTERPRISES LIMITED
LOTUSDEV	SRI LOTUS DEVLPRS N RTY L
LOTUSEYE	LOTUS EYE HOSP & INST L
LOVABLE	LOVABLE LINGERIE LTD
LPDC	LANDMARK PR.DEV.CO.LTD
LTF	L&T FINANCE LIMITED
LTFOODS	LT FOODS LIMITED
LTTS	L&T TECHNOLOGY SER. LTD.
LUMAXIND	LUMAX INDUSTRIES LTD
LUMAXTECH	LUMAX AUTO TECH LTD
LUPIN	LUPIN LIMITED
LUXIND	LUX INDUSTRIES LIMITED
LXCHEM	LAXMI ORGANIC INDUS LTD
LYKALABS	LYKA LABS LTD
M&MFIN	M&M FIN. SERVICES LTD
MACOBSTECH	MACOBS TECHNOLOGIES LTD
MACPOWER	MACPOWER CNC MACHINES LTD
MADHAV	MADHAV MARBLE & GRANITE
MADHUSUDAN	MADHUSUDAN MASALA LIMITED
MADRASFERT	MADRAS FERTILISERS LTD
MAGADSUGAR	MAGADH SUGAR & ENERGY LTD
MAGNUM	MAGNUM VENTURES LTD.
MAGSON	MAGSON RETAIL AND DIST L
MAHABANK	BANK OF MAHARASHTRA
MAHAPEXLTD	MAHA RASHTRA APEX COPR. L
MAHASTEEL	MAHAMAYA STEEL INDS LTD
MAHEPC	MAHINDRA EPC IRRIG LTD
MAHESHWARI	MAHESHWARI LOGISTICS LTD.
MAHICKRA	MAHICKRA CHEMICAL LIMITED
MAHLIFE	MAHINDRA LIFESPACE DEVLTD
MAHLOG	MAHINDRA LOGISTIC LIMITED
MAHSCOOTER	MAHARASHTRA SCOOTERS LTD
MAHSEAMLES	MAHARASHTRA SEAMLESS LTD
MAITHANALL	MAITHAN ALLOYS LTD
MAITREYA	MAITREYA MEDICARE LIMITED
MAKS	MAKS ENERGY SOL INDIA LTD
MALLCOM	MALLCOM (INDIA) LIMITED
MALUPAPER	MALU PAPER MILLS LIMITED
MAMATA	MAMATA MACHINERY LIMITED
MANAKALUCO	MANAK ALUMINIUM CO. LTD.
MANAKCOAT	MAN COAT METAL & IND LTD
MANAKSIA	MANAKSIA LTD.
MANALIPETC	MANALI PETROCHEMICALS LT
MANAPPURAM	MANAPPURAM FINANCE LTD
MANBA	MANBA FINANCE LIMITED
MANCREDIT	MANGAL CREDIT N FINCORP L
MANDEEP	MANDEEP AUTO INDUSTRIES L
MANGALAM	MANGALAM DRUG & CHEM LTD
MANGCHEFER	MANG.CHEM.FERT.LTD
MANGLMCEM	MANGALAM CEMENT LTD
MANINDS	MAN INDUSTRIES (I) LTD.
MANINFRA	MAN INFRA LTD
MANKIND	MANKIND PHARMA LIMITED
MANOMAY	MANOMAY TEX INDIA LTD
MANORAMA	MANORAMA INDUSTRIES LTD
MANYAVAR	VEDANT FASHIONS LIMITED
MAPMYINDIA	C.E. INFO SYSTEMS LIMITED
MARALOVER	MARAL OVERSEAS LTD
MARATHON	MARATHON NXTGEN REALT LTD
MARCO	MARCO CABLE & CONDUCTOR L
MARICO	MARICO LIMITED
MARKSANS	MARKSANS PHARMA LIMITED
MASFIN	MAS FINANCIAL SERV LTD
MASTEK	MASTEK LTD
MASTERTR	MASTER TRUST LIMITED
MATRIMONY	MATRIMONY.COM LIMITED
MAWANASUG	MAWANA SUGARS LIMITED
MAXESTATES	MAX ESTATES LIMITED
MAXHEALTH	MAX HEALTHCARE INS LTD
MAXIND	MAX INDIA LIMITED
MAXPOSURE	MAXPOSURE LIMITED
MAYASHEEL	MAYASHEEL VENTURES LTD
MAYURUNIQ	MAYUR UNIQUOTERS LTD
MAZDA	MAZDA LIMITED
MAZDOCK	MAZAGON DOCK SHIPBUIL LTD
MBAPL	MADHYA BHARAT AGRO P. LTD
MBEL	M AND B ENGINEERING LTD
MBLINFRA	MBL INFRASTRUCTURE LTD
MCL	MADHAV COPPER LIMITED
MCLEODRUSS	MCLEOD RUSSEL INDIA LTD.
MCLOUD	MAGELLANIC CLOUD LIMITED
MCON	MCON RASAYAN INDIA LTD
MCX	MULTI COMMODITY EXCHANGE
MEDANTA	GLOBAL HEALTH LIMITED
MEDIASSIST	MEDI ASSIST HEALTH SER L
MEDICAMEQ	MEDICAMEN BIOTECH LIMITED
MEDICO	MEDICO REMEDIES LIMITED
MEDPLUS	MEDPLUS HEALTH SERV LTD
MEGASTAR	MEGASTAR FOODS LIMITED
MEGATHERM	MEGATHERM INDUCTION LTD
MEIL	MANGAL ELECTRICAL IND L
MENONBE	MENON BEARINGS LIMITED
METROBRAND	METRO BRANDS LIMITED
METROPOLIS	METROPOLIS HEALTHCARE LTD
MFSL	MAX FINANCIAL SERV LTD
MGEL	MANGALAM GLOBAL ENT LTD
MGL	MAHANAGAR GAS LTD.
MHLXMIRU	MAHALAXMI RUBTECH LIMITED
MHRIL	MAHINDRA HOLIDAYS LTD
MICEL	MIC ELECTRONICS LTD
MICROPRO	MICROPRO SOFTWARE SOL L
MIDHANI	MISHRA DHATU NIGAM LTD
MIEL	MANGLAM INFRA & ENG LTD
MINDACORP	MINDA CORPORATION LTD
MINDSPACE	MINDSPACE BUSINESS P REIT
MIRZAINT	MIRZA INTERNATIONAL LIMIT
MITCON	MITCON CON & ENG SER LTD
MITTAL	MITTAL LIFE STYLE LIMITED
MMEL	MOVING MEDIA ENTER LTD
MMFL	MM FORGINGS LTD
MMP	MMP INDUSTRIES LIMITED
MMTC	MMTC LIMITED
MOBIKWIK	ONE MOBIKWIK SYSTEMS LTD
MODIRUBBER	MODI RUBBER LTD
MODISONLTD	MODISON LIMITED
MODTHREAD	MODERN THREADS INDIA LTD
MOHITIND	MOHIT INDUSTRIES LTD
MOIL	MOIL LIMITED
MOKSH	MOKSH ORNAMENTS LIMITED
MOL	MEGHMANI ORGANICS LIMITED
MOLDTECH	MOLD-TEK TECHNOLOGIES LTD
MOLDTKPAC	MOLD-TEK PACKAGING LTD
MONARCH	MONARCH NETWORTH CAP LTD
MONTECARLO	MONTE CARLO FASHIONS LTD.
MOREPENLAB	MOREPEN LAB. LTD
MOS	MOS UTILITY LIMITED
MOSCHIP	MOSCHIP TECHNOLOGIES LTD
MOTILALOFS	MOTILAL OSWAL FIN LTD
MOTISONS	MOTISONS JEWELLERS LTD
MOTOGENFIN	MOTOR & GENERAL FINANCE L
MOXSH	MOXSH OVERSEAS EDUCON LTD
MPHASIS	MPHASIS LIMITED
MPSLTD	MPS LIMITED
MRF	MRF LTD
MRPL	MRPL
MSPL	MSP STEEL & POWER LTD.
MSTCLTD	MSTC LIMITED
MSUMI	MOTHERSON SUMI WRNG IND L
MTARTECH	MTAR TECHNOLOGIES LIMITED
MTNL	MAHANAGAR TELEPHONE NIGAM
MUFIN	MUFIN GREEN FINANCE LTD
MUFTI	CREDO BRANDS MARKETING L
MUKANDLTD	MUKAND LTD.
MUKKA	MUKKA PROTEINS LIMITED
MUKTAARTS	MUKTA ARTS LIMITED
MUNJALAU	MUNJAL AUTO IND. LTD.
MUNJALSHOW	MUNJAL SHOWA LTD
MURUDCERA	MURUDESHWAR CERAMICS LTD
MUTHOOTCAP	MUTHOOT CAP SERV LTD
MUTHOOTFIN	MUTHOOT FINANCE LIMITED
MUTHOOTMF	MUTHOOT MICROFIN LIMITED
MVGJL	MANOJ VAIBHAV GEM N JEW L
MWL	MANGALAM WORLDWIDE LTD
MYMUDRA	MY MUDRA FINCORP LIMITED
NAGAFERT	NAGARJUN FERT AND CHE LTD
NAGREEKCAP	NAGREEKA CAP & INFR.LTD
NAGREEKEXP	NAGREEKA EXPORTS LTD.
NAHARSPING	NAHAR SPINNING MILLS LTD.
NAM-INDIA	NIPPON L I A M LTD
NAMAN	NAMAN IN-STORE (INDIA) L
NAMOEWASTE	NAMO EWASTE MANAGEMENT L
NARMADA	NARMADA AGROBASE LIMITED
NATCAPSUQ	NATURAL CAPSULES LIMITED
NATCOPHARM	NATCO PHARMA LTD.
NATIONALUM	NATIONAL ALUMINIUM CO LTD
NAVA	NAVA LIMITED
NAVINFLUOR	NAVIN FLUORINE INT. LTD
NAVKARCORP	NAVKAR CORPORATION LTD.
NAVNETEDUL	NAVNEET EDUCATION LTD
NAZARA	NAZARA TECHNOLOGIES LTD
NBCC	NBCC (INDIA) LIMITED
NBIFIN	N.B.I. IND. FIN. CO. LTD
NCC	NCC LIMITED
NCLIND	NCL INDUSTRIES LIMITED
NDGL	NAGA DHUNSERI GROUP LTD
NDL	NANDAN DENIM LIMITED
NDRAUTO	NDR AUTO COMPONENTS LTD
NECCLTD	NORTH EAST CARRY CORP LTD
NELCAST	NELCAST LIMITED
NELCO	NELCO LTD
NEOGEN	NEOGEN CHEMICALS LIMITED
NEPTUNE	NEPTUNE PETROCHEMICALS L
NESCO	NESCO LTD.
NETWEB	NETWEB TECH INDIA LTD
NETWORK18	NETWORK18 MEDIA & INV LTD
NEULANDLAB	NEULAND LAB LTD.
NEWGEN	NEWGEN SOFTWARE TECH LTD
NEWJAISA	NEWJAISA TECHNOLOGIES LTD
NEXTMEDIA	NEXT MEDIAWORKS LIMITED
NFL	NATIONAL FERT. LTD
NGIL	NAKODA GROUP OF IND. LTD
NGLFINE	NGL FINE CHEM LIMITED
NH	NARAYANA HRUDAYALAYA LTD.
NHIT	NATIONAL HIGHW INFRA TRUS
NHPC	NHPC LTD
NIACL	THE NEW INDIA ASSU CO LTD
NIBE	NIBE LIMITED
NIDAN	NIDAN LABS AND HEALTH LTD
NIITLTD	NIIT LIMITED
NIITMTS	NIIT LEARNING SYSTEMS LTD
NIKITA	NIKITA PAPERS LIMITED
NILAINFRA	NILA INFRASTRUCTURES LTD
NILASPACES	NILA SPACES LIMITED
NILKAMAL	NILKAMAL LIMITED
NINSYS	NINTEC SYSTEMS LIMITED
NIPPOBATRY	INDO-NATIONAL LIMITED
NIRAJ	NIRAJ CEMENT STRUC LTD
NIRMAN	NIRMAN AGRI GENTICS LTD
NITCO	NITCO LIMITED
NITINSPIN	NITIN SPINNERS LIMITED
NITIRAJ	NITIRAJ ENGINEERS LTD
NIVABUPA	NIVA BUPA HEALTH INS CO L
NKIND	NK INDUSTRIES LTD
NLCINDIA	NLC INDIA LIMITED
NMDC	NMDC LTD.
NMSTEEL	NEWMALAYALAM STEEL LTD
NOCIL	NOCIL LIMITED
NORTHARC	NORTHERN ARC CAPITAL LTD
NOVAAGRI	NOVA AGRITECH LIMITED
NPST	NETWORK PEOPLE SRV TECH L
NRBBEARING	NRB BEARING LIMITED
NRVANDANA	N R VANDANA TEX IND LTD
NSIL	NALWA SONS INVESTMENT LTD
NSLNISP	NMDC STEEL LIMITED
NTPCGREEN	NTPC GREEN ENERGY LIMITED
NUCLEUS	NUCLEUS SOFTWARE EXPORTS
NURECA	NURECA LIMITED
NUVAMA	NUVAMA WEALTH MANAGE LTD
NUVOCO	NUVOCO VISTAS CORP LTD
NXST	NEXUS SELECT TRUST
NYKAA	FSN E COMMERCE VENTURES
OAL	ORIENTAL AROMATICS LTD
OBCL	ORISSA BENGAL CARRIER LTD
OBEROIRLTY	OBEROI REALTY LIMITED
OFSS	ORACLE FIN SERV SOFT LTD.
OIL	OIL INDIA LTD
OILCOUNTUB	OIL COUNTRY TUBULAR LTD
OLAELEC	OLA ELECTRIC MOBILITY LTD
OLECTRA	OLECTRA GREENTECH LIMITED
OLIL	ONECLICK LOGISTICS IND L
OMAXE	OMAXE LIMITED
OMFURN	OMFURN INDIA LIMITED
OMINFRAL	OM INFRA LIMITED
ONESOURCE	ONESOURCE SPECL PHARMA L
ONMOBILE	ONMOBILE GLOBAL LTD.
ONYX	ONYX BIOTEC LIMITED
OPTIEMUS	OPTIEMUS INFRACOM LTD
ORCHASP	ORCHASP LIMITED
ORCHPHARMA	ORCHID PHARMA LIMITED
ORICONENT	ORICON ENTERPRISES LTD
ORIENTBELL	ORIENT BELL LIMITED
ORIENTCEM	ORIENT CEMENT LTD.
ORIENTCER	ORIENT CERATECH LIMITED
ORIENTELEC	ORIENT ELECTRIC LIMITED
ORIENTHOT	ORIENT HOTELS LTD
ORIENTLTD	ORIENT PRESS LIMITED
ORIENTPPR	ORIENT PAPER AND INDS LTD
ORIENTTECH	ORIENT TECHNOLOGIES LTD
ORISSAMINE	ORISSA MIN DEV CO LTD
OSWALAGRO	OSWAL AGRO MILLS LTD
OSWALGREEN	OSWAL GREENTECH LIMITED
OSWALPUMPS	OSWAL PUMPS LIMITED
OWAIS	OWAIS METAL & MINERAL
PAGEIND	PAGE INDUSTRIES LTD
PAISALO	PAISALO DIGITAL LIMITED
PAKKA	PAKKA LIMITED
PALASHSECU	PALASH SECURITIES LTD
PANACEABIO	PANACEA BIOTEC LTD
PANAMAPET	PANAMA PETROCHEM LTD
PARACABLES	PARAMOUNT COMM LTD
PARADEEP	PARADEEP PHOSPHATES LTD
PARAGMILK	PARAG MILK FOODS LTD.
PARAGON	PARAGON FINE S.C. LTD.
PARAMATRIX	PARAMATRIX TECHNOLOGIES L
PARAS	PARAS DEF AND SPCE TECH L
PARASPETRO	PARAS PETROFILS LTD.
PARIN	PARIN ENTERPRISES LIMITED
PARKHOTELS	PARKHOTELS
PARTH	PARTH ELEC & ENG LTD
PARTYCRUS	PARTY CRUISERS LIMITED
PASHUPATI	PASHUPATI COTSPIN LIMITED
PASUPTAC	PASUPATI ACRYLON LIMITED
PATANJALI	PATANJALI FOODS LIMITED
PATELENG	PATEL ENGINEERING LTD.
PATILAUTOM	PATIL AUTOMATION LIMITED
PATINTLOG	PATEL INT. LOG. LTD
PAVNAIND	PAVNA INDUSTRIES LIMITED
PAYTM	ONE 97 COMMUNICATIONS LTD
PCBL	PCBL CHEMICAL LIMITED
PCCL	PETRO CARBON AND CHEMI L
PCJEWELLER	PC JEWELLER LTD
PDMJEPAPER	PUDUMJEE PAPER PRO. LTD
PDSL	PDS LIMITED
PEARLPOLY	PEARL POLYMERS LTD
PEL	PIRAMAL ENTERPRISES LTD
PELATRO	PELATRO LIMITED
PENIND	PENNAR INDUSTRIES LTD
PENINLAND	PENINSULA LAND LIMITED
PENTAGON	PENTAGON RUBBER LIMITED
PERSISTENT	PERSISTENT SYSTEMS LTD
PETRONET	PETRONET LNG LIMITED
PFIZER	PFIZER LTD
PFOCUS	PRIME FOCUS LIMITED
PFS	PTC INDIA FIN SERV LTD
PGEL	PG ELECTROPLAST LTD
PGHH	P&G HYGIENE & HEALTH CARE
PGHL	PROCTER & GAMBLE HEALTH L
PGIL	PEARL GLOBAL IND LIMITED
PGINVIT	POWERGRID INFRA. INVITS
PHOENIXLTD	THE PHOENIX MILLS LTD
PHOGLOBAL	PHOENIX OVERSEAS LIMITED
PICCADIL	PICCADILY AGRO INDUSTRI L
PIIND	PI INDUSTRIES LTD
PILANIINVS	PILANI INV & IND COR LTD
PIONEEREMB	PIONEER EMBROIDERIES LTD
PITTIENG	PITTI ENGINEERING LIMITED
PIXTRANS	PIX TRANSMISSIONS LIMITED
PLADAINFO	PLADA INFOTECH SERVICES L
PLASTIBLEN	PLASTIBLENDS INDIA LTD
PLATIND	PLATINUM INDUSTRIES LTD
PLAZACABLE	PLAZA WIRES LIMITED
PNBGILTS	PNB GILTS LIMITED
PNBHOUSING	PNB HOUSING FIN LTD.
PNCINFRA	PNC INFRATECH LTD.
PNGJL	P N GADGIL JEWELLERS LTD
POCL	PONDY OXIDES & CHEM LTD
PODDARMENT	PODDAR PIGMENTS LIMITED
POKARNA	POKARNA LIMITED
POLICYBZR	PB FINTECH LIMITED
POLYCAB	POLYCAB INDIA LIMITED
POLYMED	POLY MEDICURE LIMITED
POLYPLEX	POLYPLEX CORPORATION LTD
PONNIERODE	PONNIE SUGARS (ERODE) LTD
POONAWALLA	POONAWALLA FINCORP LTD
POSITRON	POSITRON ENERGY LIMITED
POWERINDIA	HITACHI ENERGY INDIA LTD
POWERMECH	POWER MECH PROJECTS LTD.
PPL	PRAKASH PIPES LIMITED
PPLPHARMA	PIRAMAL PHARMA LIMITED
PRABHA	PRABHA ENERGY LIMITED
PRAENG	PRAJAY ENG. SYN. LTD.
PRAJIND	PRAJ INDUSTRIES LTD
PRAKASH	PRAKASH INDUSTRIES LTD
PRAKASHSTL	PRAKASH STEELAGE LTD
PRANIK	PRANIK LOGISTICS LIMITED
PRATHAM	PRATHAM EPC PROJECTS LTD
PRECAM	PRECISION CAMSHAFTS LTD.
PRECWIRE	PRECISION WIRES INDIA LTD
PREMEXPLN	PREMIER EXPLOSIVES LTD
PREMIERENE	PREMIER ENERGIES LIMITED
PREMIERPOL	PREMIER POLYFILM LTD
PREMIUM	PREMIUM PLAST LIMITED
PRESSTONIC	PRESSTONIC ENGINEERING L
PRESTIGE	PRESTIGE ESTATE LTD
PRICOLLTD	PRICOL LIMITED
PRIMESECU	PRIME SECURITIES LIMITED
PRIMO	PRIMO CHEMICALS LIMITED
PRINCEPIPE	PRINCE PIPES FITTINGS LTD
PRITI	PRITI INTERNATIONAL LTD
PRITIKA	PRITIKA ENG COMPO LTD
PRITIKAUTO	PRITIKA AUTO INDUS LTD
PRIVISCL	PRIVI SPECIALITY CHE LTD
PRLIND	PREMIER ROADLINES LIMITED
PROFX	PRO FX TECH LIMITED
PROPEQUITY	P. E. ANALYTICS LIMITED
PROSTARM	PROSTARM INFO SYSTEMS LTD
PROTEAN	PROTEAN EGOV TECHNO LTD
PROV	PROVENTUS AGROCOM LIMITED
PROZONER	PROZONE REALTY LIMITED
PRSMJOHNSN	PRISM JOHNSON LIMITED
PRUDENT	PRUDENT CORP ADV SER LTD
PRUDMOULI	PRUDENTIAL SUGAR CORPORAT
PSB	PUNJAB & SIND BANK
PSFL	PARAMOUNT SPECIALI FORG L
PSPPROJECT	PSP PROJECTS LIMITED
PTC	PTC INDIA LIMITED
PTCIL	PTC INDUSTRIES LIMITED
PTL	PTL ENTERPRISES LTD
PUNJABCHEM	PUNJAB CHEM & CROP PROT L
PURVA	PURAVANKARA LIMITED
PURVFLEXI	PURV FLEXIPACK LIMITED
PUSHPA	PUSHPA JEWELLERS LIMITED
PVP	PVP VENTURES LIMITED
PVRINOX	PVR INOX LIMITED
PVSL	POPULAR VEHICLES N SER L
PYRAMID	PYRAMID TECHNOPLAST LTD
QFIL	QUALITY FOILS (INDIA) LTD
QMSMEDI	QMS MEDICAL ALLIED S LTD
QPOWER	QUALITY POWER ELEC EQUP L
QUADFUTURE	QUADRANT FUTURE TEK LTD
QUESS	QUESS CORP LIMITED
QUESTLAB	QUEST LABORATORIES LTD
QUICKHEAL	QUICK HEAL TECH LTD
QVCEL	QVC EXPORTS LIMITED
RACE	RACE ECO CHAIN LIMITED
RACLGEAR	RACL GEARTECH LIMITED
RADAAN	RADAAN MEDIAWORKS (I) LTD
RADHIKAJWE	RADHIKA JEWELTECH LIMITED
RADIANTCMS	RADIANT CASH MGMT SER LTD
RADICO	RADICO KHAITAN LTD
RADIOCITY	MUSIC BROADCAST LIMITED
RADIOWALLA	RADIOWALLA NETWORK LTD
RAILTEL	RAILTEL CORP OF IND LTD
RAIN	RAIN INDUSTRIES LIMITED
RAINBOW	RAINBOW CHILDRENS MED LTD
RAJESHEXPO	RAJESH EXPORTS LTD
RAJINDLTD	RAJPUTANA INDUSTRIES LTD
RAJMET	RAJNANDINI METAL LIMITED
RAJOOENG	RAJOO ENGINEERS LIMITED
RAJPUTANA	RAJPUTANA BIODIESEL LTD
RAJRATAN	RAJRATAN GLOBAL WIRE LTD
RAJSREESUG	RAJSHREE SUGAR & CHEMICAL
RAJTV	RAJ TV NETWORK LTD
RALLIS	RALLIS INDIA LTD
RAMASTEEL	RAMA STEEL TUBES LIMITED
RAMCOCEM	THE RAMCO CEMENTS LIMITED
RAMCOIND	RAMCO INDUSTRIES LIMITED
RAMKY	RAMKY INFRA LTD
RAMRAT	RAM RATNA WIRES LIMITED
RANASUG	RANA SUGARS LTD.
RANEHOLDIN	RANE HOLDINGS LIMITED
RAPPID	RAPPID VALVES (INDIA) LTD
RATEGAIN	RATEGAIN TRAVEL TECHN LTD
RATNAMANI	RATNAMANI MET & TUB LTD.
RATNAVEER	RATNAVEER PRECISION ENG L
RAYMOND	RAYMOND LTD
RAYMONDLSL	RAYMOND LIFESTYLE LIMITED
RAYMONDREL	RAYMOND REALTY LIMITED
RBA	RESTAURANT BRAND ASIA LTD
RBLBANK	RBL BANK LIMITED
RBS	RAMDEVBABA SOLVENT LTD
RBZJEWEL	RBZ JEWELLERS LIMITED
RCDL	RAJGOR CASTOR DERIVATI L
RCF	RASHTRIYA CHEMICALS & FER
READYMIX	READYMIX CONSTRU MACHI L
REDINGTON	REDINGTON LIMITED
REDTAPE	REDTAPE LIMITED
REFEX	REFEX INDUSTRIES LIMITED
REFRACTORY	REFRACTORY SHAPES LIMITED
REGAAL	REGAAL RESOURCES LIMITED
REGENCERAM	REGENCY CERAMICS LTD.
RELAXO	RELAXO FOOT LTD.
RELCHEMQ	RELIANCE CHEMOTEX IND LTD
RELIABLE	RELIABLE DATA SERVICE LTD
RELIGARE	RELIGARE ENTER. LTD.
REMSONSIND	REMSONS INDUSTRIES LTD
REMUS	REMUS PHARMACEUTICALS L
RENUKA	SHREE RENUKA SUGARS LTD
REPCOHOME	REPCO HOME FINANCE LTD
REPL	RUDRABHISHEK ENTERP LTD
REPRO	REPRO INDIA LIMITED
RESPONIND	RESPONSIVE INDUSTRIES LTD
RETAIL	JHS SVENDGAARD RETAIL V L
REXPRO	REXPRO ENTERPRISES LTD
RGL	RENAISSANCE GLOBAL LTD
RHIM	RHI MAGNESITA INDIA LTD
RHL	ROBUST HOTELS LIMITED
RICHA	RICHA INFO SYSTEMS LTD
RICOAUTO	RICO AUTO INDUSTRIES LTD
RIIL	RELIANCE INDUSTRIAL INFRA
RISHABH	RISHABH INSTRUMENTS LTD
RITCO	RITCO LOGISTICS LIMITED
RITES	RITES LIMITED
RKDL	RAVI KUMAR DIST. LTD.
RKEC	RKEC PROJECTS LIMITED
RKFORGE	RAMKRISHNA FORGINGS LTD
RKSWAMY	R K SWAMY LIMITED
RMDRIP	R M DRIP & SPRINK SYS LTD
RML	RANE (MADRAS) LIMITED
RNFI	RNFI SERVICES LIMITED
RNPL	RENOL POLYCHEM LIMITED
ROCKINGDCE	ROCKINGDEALS CIRCU ECO L
ROHLTD	ROYAL ORCHID HOTELS LTD
ROLEXRINGS	ROLEX RINGS LIMITED
ROSSARI	ROSSARI BIOTECH LIMITED
ROSSELLIND	ROSSELL INDIA LIMITED
ROSSTECH	ROSSELL TECHSYS LIMITED
ROTO	ROTO PUMPS LIMITED
ROUTE	ROUTE MOBILE LIMITED
ROXHITECH	ROX HI TECH LIMITED
ROYALARC	ROYAL ARC ELECTRODES LTD
RPEL	RAGHAV PRODUCTIVITY ENH L
RPGLIFE	RPG LIFE SCIENCES LTD
RPPINFRA	R.P.P INFRA PROJECTS LTD
RPPL	RAJSHREE POLYPACK LTD
RPSGVENT	RPSG VENTURES LIMITED
RPTECH	RASHI PERIPHERALS LIMITED
RRKABEL	R R KABEL LIMITED
RSWM	RSWM LIMITED
RSYSTEMS	R SYS INTERNATIONAL LTD
RTL	RAMA TELECOM LIMITED
RTNINDIA	RATTANINDIA ENT LIMITED
RTNPOWER	RATTANINDIA POWER LIMITED
RUBFILA	RUBFILA INTERNATIONAL LTD
RUBYMILLS	THE RUBY MILLS LTD
RUCHIRA	RUCHIRA PAPERS LIMITED
RULKA	RULKA ELECTRICALS LIMITED
RUPA	RUPA & COMPANY LTD
RUSHIL	RUSHIL DECOR LIMITED
RUSTOMJEE	KEYSTONE REALTORS LIMITED
RVHL	RAVINDER HEIGHTS LIMITED
RVNL	RAIL VIKAS NIGAM LIMITED
RVTH	REVATHI EQUIPMENT INDIA L
SABAR	SABAR FLEX INDIA LIMITED
SACHEEROME	SACHEEROME LIMITED
SADBHAV	SADBHAV ENGINEERING LTD
SAFARI	SAFARI IND (INDIA) LTD
SAFEENTP	SAFE ENTER RETAIL FIX LTD
SAGARDEEP	SAGARDEEP ALLOYS LIMITED
SAGCEM	SAGAR CEMENTS LIMITED
SAGILITY	SAGILITY INDIA LIMITED
SAHAJSOLAR	SAHAJ SOLAR LIMITED
SAHANA	SAHANA SYSTEM LIMITED
SAHASRA	SAHASRA ELECTRONIC SOLU L
SAHYADRI	SAHYADRI INDUSTRIES LTD
SAIL	STEEL AUTHORITY OF INDIA
SAILIFE	SAI LIFE SCIENCES LIMITED
SAJHOTELS	SAJ HOTELS LIMITED
SAKHTISUG	SAKTHI SUGARS LTD
SAKSOFT	SAKSOFT LIMITED
SAKUMA	SAKUMA EXPORTS LIMITED
SALASAR	SALASAR TECHNO ENGG. LTD.
SALONA	SALONA COTSPIN LTD.
SALSTEEL	S.A.L. STEEL LTD.
SALZERELEC	SALZER ELECTRONICS LTD
SAMBHAAV	SAMBHAAV MEDIA LTD
SAMBHV	SAMBHV STEEL TUBES LTD
SAMHI	SAMHI HOTELS LIMITED
SAMMAANCAP	SAMMAAN CAPITAL LIMITED
SAMPANN	SAMPANN UTPADAN INDIA LTD
SANATHAN	SANATHAN TEXTILES LIMITED
SANDESH	SANDESH LTD
SANDHAR	SANDHAR TECHNOLOGIES LTD
SANDUMA	SANDUR MANG & IRON ORES L
SANGAMIND	SANGAM (INDIA) LTD
SANGANI	SANGANI HOSPITALS LIMITED
SANGHIIND	SANGHI INDUSTRIES LTD
SANGHVIMOV	SANGHVI MOVERS LTD
SANGINITA	SANGINITA CHEMICALS LTD
SANOFI	SANOFI INDIA LIMITED
SANOFICONR	SANOFI CONS HEALTHC IND L
SANSERA	SANSERA ENGINEERING LTD
SANSTAR	SANSTAR LIMITED
SAPPHIRE	SAPPHIRE FOODS INDIA LTD
SARDAEN	SARDA ENERGY & MIN LTD
SAREGAMA	SAREGAMA INDIA LIMITED
SARLAPOLY	SARLA PERF. FIBERS LTD
SAROJA	SAROJA PHARMA INDUS IND L
SARTELE	SAR TELEVENTURE LIMITED
SARVESHWAR	SARVESHWAR FOODS LIMITED
SASKEN	SASKEN TECHNOLOGIES LTD
SASTASUNDR	SASTASUNDAR VENTURES LTD
SATECH	S A TECH SOFTWARE INDIA L
SATIA	SATIA INDUSTRIES LIMITED
SATIN	SATIN CREDIT NET LTD
SATIPOLY	SATI POLY PLAST LIMITED
SAURASHCEM	SAURASHTRA CEMENT LIMITED
SAVY	SAVY INFRA AND LOGI LTD
SBC	SBC EXPORTS LIMITED
SBCL	SHIVALIK BIMETAL CON. LTD
SBFC	SBFC FINANCE LIMITED
SBGLP	SURATWWALA BUS GROUP LTD
SBICARD	SBI CARDS & PAY SER LTD
SCHAEFFLER	SCHAEFFLER INDIA LIMITED
SCHAND	S CHAND AND COMPANY LTD
SCI	SHIPPING CORP OF INDIA LT
SCILAL	SHIPPING CORP OF ILA LTD
SCML	SHARP CHUCKS N MACHINES L
SCODATUBES	SCODA TUBES LIMITED
SCPL	SHEETAL COOL PRODUCTS LTD
SDBL	SOM DIST & BREW LTD
SDREAMS	S D RETAIL LIMITED
SEAMECLTD	SEAMEC LIMITED
SECURKLOUD	SECUREKLOUD TECH LIMITED
SEL	SUNGARNER ENERGIES LTD
SELAN	SELAN EXPLO. TECH LTD
SELLOWRAP	SELLOWRAP INDUSTRIES LTD
SELMC	SEL MANUFACTURING CO LTD
SENCO	SENCO GOLD LIMITED
SENORES	SENORES PHARMACEUTICALS L
SEPC	SEPC LIMITED
SEPCPP	SEPC RS.5 PPD UP
SEQUENT	SEQUENT SCIENTIFIC LTD.
SERVOTECH	SERVOTECH REN POW SYS LTD
SESHAPAPER	SESHASAYEE PAPER & BOARDS
SETCO	SETCO AUTOMOTIVE LTD
SFL	SHEELA FOAM LIMITED
SFML	SUPREME FACILITY MGMT LTD
SGFIN	SG FINSERVE LIMITED
SGIL	SYNERGY GREEN IND. LTD
SHAHALLOYS	SHAH ALLOYS LIMITED
